n,z,betaMinusTwoNeutronEmission(keV)
4,1,1818.5920000000006
5,1,23308.173010000002
6,1,21761.129880000004
3,2,-33578.40212
4,2,-23873.731119999997
5,2,-1748.3951199999992
6,2,1380.1664400000009
7,2,9886.08525
8,2,12108.705879999998
4,3,-38374.531489999994
5,3,-13571.865119999999
6,3,-6956.72912
7,3,11968.31988
8,3,13237.171879999998
9,3,20259.453879999997
10,3,20661.089879999996
4,4,-58520.964120000004
5,4,-32470.73812
6,4,-26456.718119999998
7,4,-8381.953119999998
8,4,-3115.4861200000014
9,4,8848.735880000004
10,4,10442.46788
11,4,17121.236880000008
12,4,17640.816880000002
5,5,-39156.29412
6,5,-36385.89912
7,5,-18471.91112
8,5,-10230.08512
9,5,7521.049880000002
10,5,9689.73355
11,5,17949.169600000005
12,5,17700.540879999997
13,5,21955.87088
14,5,22595.73488
15,5,28339.66688
16,5,29826.496880000002
6,6,-54942.66312
7,6,-37383.270789999995
8,6,-30460.81084
9,6,-11614.972119999999
10,6,-5311.9199499999995
11,6,4787.805790000002
12,6,3092.722880000001
13,6,8401.038880000004
14,6,8247.763880000002
15,6,13644.108880000003
16,6,15702.068880000003
17,6,22796.44888
7,7,-45292.55429
8,7,-39156.63003
9,7,-18466.51012
10,7,-11128.179119999999
11,7,1707.5330500000018
12,7,522.3830899999994
13,7,6406.678220000002
14,7,5756.4208800000015
15,7,11825.996880000002
16,7,12515.758879999998
17,7,21512.33188
18,7,25218.99288
7,8,-55317.01411999999
8,8,-52844.041289999994
9,8,-33518.15233
10,8,-27600.63446
11,8,-14761.47912
12,8,-13219.57612
13,8,-6593.156999999999
14,8,-6842.14112
15,8,-1473.6601200000005
16,8,-435.6081200000008
17,8,7901.130880000001
18,8,10973.888879999999
19,8,17193.19688
20,8,17262.708880000002
9,9,-39256.299119999996
10,9,-34130.533240000004
11,9,-21477.716119999997
12,9,-17942.29512
13,9,-6307.327949999999
14,9,-7125.5971199999985
15,9,-573.4041199999992
16,9,345.5758800000003
17,9,8483.66088
18,9,11026.34488
19,9,16780.04588
20,9,16956.64388
21,9,21517.625880000003
22,9,22300.56088
9,10,-49110.16211999999
10,10,-48222.560289999994
11,10,-34803.79612
12,10,-31017.841119999997
13,10,-19111.824119999997
14,10,-16912.88712
15,10,-8648.2856
16,10,-7243.62112
17,10,266.08788000000277
18,10,2017.8818800000008
19,10,7774.957880000002
20,10,8125.7988799999985
21,10,12358.963880000003
22,10,12381.693880000003
23,10,17741.332879999998
24,10,18059.21188
10,11,-50165.88712
11,11,-38801.72112
12,11,-36576.340639999995
13,11,-24160.55112
14,11,-20026.77512
15,11,-9069.83812
16,11,-8467.645120000001
17,11,-916.4071199999998
18,11,1123.9518800000005
19,11,7351.979880000003
20,11,6715.754880000004
21,11,11378.888879999999
22,11,10759.62888
23,11,16366.378880000004
24,11,16725.49088
