,z,n,symbol,atomic_mass,binding
0,0,1,Nn,1008664.9159,0
1,0,4,N, , 
2,0,6,N, , 
3,1,0,H,1007825.031898,0
4,1,1,H,2014101.777844,1112.2831
5,1,2,H,3016049.28132,2827.2654
6,1,3,H,4026431.867,1720.4491
7,1,4,H,5035311.492,1336.3592
8,1,5,H,6044955.437,961.6395
9,1,6,H,7052749,940
10,2,1,He,3016029.32197,2572.68044
11,2,2,He,4002603.25413,7073.9156
12,2,3,He,5012057.224,5512.1325
13,2,4,He,6018885.889,4878.5199
14,2,5,He,7027990.652,4123.0578
15,2,6,He,8033934.388,3924.521
16,2,7,He,9043946.414,3349.038
17,2,8,He,10052815.306,2995.134
18,3,1,Li,4027185.561,1153.7603
19,3,2,Li,5012537.8,5266.1325
20,3,3,Li,6015122.88742,5332.3312
21,3,4,Li,7016003.43426,5606.4401
22,3,5,Li,8022486.244,5159.7124
23,3,6,Li,9026790.191,5037.7685
24,3,7,Li,10035483.453,4531.3512
25,3,8,Li,11043723.581,4155.3817
26,3,9,Li,12052613.942,3791.5999
27,4,2,Be,6019726.409,4487.2478
28,4,3,Be,7016928.714,5371.5487
29,4,4,Be,8005305.102,7062.4356
30,4,5,Be,9012183.062,6462.6693
31,4,6,Be,10013534.692,6497.6306
32,4,7,Be,11021661.08,5952.5402
33,4,8,Be,12026922.082,5720.7223
34,4,9,Be,13036134.506,5241.4359
35,4,10,Be,14042892.92,4993.8973
36,4,11,Be,15053490.215,4540.9708
37,4,12,Be,16061672.036,4285.2851
38,5,2,B,7029712,3558.7055
39,5,3,B,8024607.315,4717.1551
40,5,4,B,9013329.645,6257.0713
41,5,5,B,10012936.862,6475.0835
42,5,6,B,11009305.166,6927.7323
43,5,7,B,12014352.638,6631.2237
44,5,8,B,13017779.981,6496.4194
45,5,9,B,14025404.01,6101.6451
46,5,10,B,15031087.023,5880.0438
47,5,11,B,16039841.045,5507.3535
48,5,12,B,17046931.399,5269.6677
49,5,13,B,18055601.683,4976.6306
50,5,14,B,19064166,4719.6346
51,5,15,B,20074505.644,4405.6529
52,5,16,B,21084147.485,4152.5265
53,6,2,C,8037643.039,3101.5242
54,6,3,C,9031037.202,4337.4233
55,6,4,C,10016853.217,6032.0426
56,6,5,C,11011432.597,6676.4563
57,6,6,C,12000000,7680.1446
58,6,7,C,13003354.83534,7469.8495
59,6,8,C,14003241.98862,7520.3198
60,6,9,C,15010599.256,7100.1696
61,6,10,C,16014701.255,6922.0546
62,6,11,C,17022578.65,6558.0262
63,6,12,C,18026751.93,6426.1321
64,6,13,C,19034797.594,6118.274
65,6,14,C,20040261.732,5961.4356
66,6,16,C,22057553.99,5421.0778
67,7,3,N,10041653.54,3643.6724
68,7,4,N,11026157.593,5358.4023
69,7,5,N,12018613.18,6170.11
70,7,6,N,13005738.609,7238.8634
71,7,7,N,14003074.00425,7475.6148
72,7,8,N,15000108.89827,7699.4603
73,7,9,N,16006101.925,7373.7971
